"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Chlorhexidine,Mitomycin C,STPA,other DNA_LPS,NA,not_comparable,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,NA,-0.140789944,-0.050599873,-0.239977864,-0.136132815,NA,NA,0.001768535,NA,0.002089943,NA,no_conflict,ECSTPA
,Caffeine,Mitomycin C,STPA,other DNA_food additive,NA,conserved,conserved,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.150886263,-0.169451783,-0.141964528,-0.145275733,NA,NA,0.004600072,0.002167452,0.002089943,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Aztreonam,STPA,beta-lactam_other cell wall,NA,conserved,weak_conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.176380587,-0.193487697,-0.119662554,-0.109122998,NA,NA,0.001858524,0.001836122,0.035761239,NA,no_conflict,ECSTPA
,Amikacin,Tobramycin,STPA,aminoglycoside_aminoglycoside,NA,conserved,conserved,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.334871835,-0.100578825,-0.131323636,-0.125436095,NA,NA,0.00716595,0.036300814,0.01588794,0.0053833,no_conflict,ECSTPA
,Cefaclor,Penicillin G,STPA,beta-lactam_beta-lactam,NA,conserved,not_comparable,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.18203387,-0.325195769,-0.107721391,-0.04253101,NA,NA,0.040289677,0.019710849,0.002089943,NA,no_conflict,ECSTPA
,Levofloxacin,Chlorhexidine,STPA,quinolones_LPS,NA,conserved,not_comparable,NA,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.625958398,-0.568479732,-0.437928362,0,NA,NA,0.00716595,0.001836122,0.002089943,NA,no_conflict,ECSTPA
,Levofloxacin,Metformin,STPA,quinolones_human drug,NA,not_conserved,not_comparable,NA,NA,Synergy,NA,Synergy,NA,NA,NA,-0.471609855,0.002896218,-0.324083996,0.066126276,NA,NA,0.045741034,NA,0.002089943,NA,no_conflict,ECSTPA
,Piperacillin,Tobramycin,STPA,beta-lactam_aminoglycoside,NA,conserved,conserved,NA,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.575950373,-0.293491492,-0.479030136,-0.133383239,NA,NA,0.024951048,0.002167452,0.001981816,0.049477118,no_conflict,ECSTPA
,Piperacillin,Aztreonam,STPA,beta-lactam_beta-lactam,NA,not_conserved,weak_conserved,NA,NA,Synergy,NA,NA,Synergy,NA,NA,-0.395168826,0.128948557,-0.149094916,-0.451848873,NA,NA,0.024951048,NA,NA,0.024543598,no_conflict,ECSTPA
,Chloramphenicol,Ciprofloxacin,STPA,quinolones_other protein synthesis inhibitor,NA,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.227700867,0.2314505,0.142934102,0.143544158,NA,NA,0.001768535,NA,NA,0.002815025,no_conflict,ECSTPA
,Ciprofloxacin,EGCG,STPA,quinolones_fatty acid biosynthesis,NA,weak_conserved,not_comparable,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.113245464,0.097681646,-0.045629106,0.196203624,NA,NA,0.023341795,NA,NA,0.016109338,no_conflict,ECSTPA
,Spectinomycin,Chlorhexidine,STPA,LPS_aminoglycoside,NA,not_comparable,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.111331952,0.031944581,0.158654966,0.057171628,NA,NA,0.031666152,NA,0.029319773,NA,no_conflict,ECSTPA
,Amikacin,Chlorhexidine,STPA,LPS_aminoglycoside,NA,not_comparable,conserved,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.149853516,0.038476585,0.173019952,0.169663972,NA,NA,0.001768535,NA,0.003779074,0.024232036,no_conflict,ECSTPA
,Paraquat,Aztreonam,STPA,beta-lactam_oxidative stress,NA,conserved,weak_conserved,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.446778343,0.742453572,0.178793963,0.105338231,NA,NA,0.001768535,0.002167452,0.002089943,NA,no_conflict,ECSTPA
,Levofloxacin,Mitomycin C,STPA,other DNA_quinolones,NA,not_conserved,weak_conserved,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.128024263,0.050113622,0.063213242,0.128546269,NA,NA,0.001768535,NA,NA,0.007324046,no_conflict,ECSTPA
,Imipenem,Mitomycin C,STPA,beta-lactam_other DNA,NA,weak_conserved,conserved,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.175921491,0.135478552,0.151648798,0.179367075,NA,NA,0.003167815,NA,0.002089943,0.002389296,no_conflict,ECSTPA
,Mitomycin C,Meropenem,STPA,beta-lactam_other DNA,NA,not_conserved,not_conserved,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.151544976,-0.070858761,0.050851008,0.120462369,NA,NA,0.024312027,NA,NA,0.002815025,no_conflict,ECSTPA
,Mitomycin C,Gentamicin,STPA,other DNA_aminoglycoside,NA,weak_conserved,not_conserved,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.182628814,0.083164304,0,0.183067245,NA,NA,0.007031004,NA,NA,0.002815025,no_conflict,ECSTPA
,Doxycycline,Moxifloxacin,STPA,quinolones_tetracycline,NA,weak_conserved,not_comparable,NA,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.219326402,0.267074083,0.029353587,0.23757619,NA,NA,0.034252081,NA,NA,0.009195747,no_conflict,ECSTPA
,Spectinomycin,Amikacin,STPA,aminoglycoside_aminoglycoside,NA,not_comparable,conserved,NA,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.106160854,-0.06203679,0.131352625,0.23121118,NA,NA,0.007012286,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Paraquat,Piperacillin,STPA,beta-lactam_oxidative stress,NA,conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.245344317,0.210715484,0.156864523,0.457808876,NA,NA,0.03043332,0.003321543,NA,0.003989892,no_conflict,ECSTPA
,Bacitracin,Polymyxin B,STPA,other cell wall_LPS,NA,weak_conserved,conserved,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.072928847,-0.394566789,-0.284207659,-0.346250259,NA,NA,NA,0.029624706,0.002089943,0.002815025,no_conflict,ECSTPA
,Chlorhexidine,Cerulenin,STPA,LPS_fatty acid biosynthesis,NA,weak_conserved,weak_conserved,NA,NA,NA,Synergy,Synergy,NA,NA,NA,-0.811763287,-0.455650875,-0.170682595,-0.277259794,NA,NA,NA,0.002167452,0.010788307,NA,no_conflict,ECSTPA
,Tobramycin,Aztreonam,STPA,beta-lactam_aminoglycoside,NA,weak_conserved,conserved,NA,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.452722535,-0.160754247,-0.444728656,-0.398682036,NA,NA,NA,0.016364739,0.001981816,0.033849376,no_conflict,ECSTPA
,Amoxicillin,Ciprofloxacin,STPA,beta-lactam_quinolones,NA,not_comparable,weak_conserved,NA,NA,NA,Antagonism,NA,Antagonism,NA,NA,-0.047860774,0.229949757,0.097174327,0.266802603,NA,NA,NA,0.037772256,NA,0.002815025,no_conflict,ECSTPA
,Amoxicillin,Cefotaxime,ECPA conflict,beta-lactam_beta-lactam,conserved,NA,not_comparable,Synergy,Synergy,NA,NA,Antagonism,NA,-0.250080619,-0.327234559,NA,NA,0.212055174,-0.077344339,0.001666307,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Amoxicillin,Piperacillin,ECSTPA conflict,beta-lactam_beta-lactam,conserved,conserved,weak_conserved,Synergy,Synergy,Synergy,Synergy,Antagonism,NA,-0.185511961,-0.293649022,-0.594606308,-0.473645304,0.314074822,0.081068472,0.002956627,0.001463305,0.001768535,0.002167452,0.002089943,NA,conflict,ECSTPA
,Novobiocin,Minocycline,ECST conflict,other DNA_tetracycline,weak_conserved,not_comparable,NA,Synergy,NA,NA,Antagonism,NA,NA,-0.117353395,-0.07962727,-0.040862001,0.117592796,NA,NA,0.01041944,NA,NA,0.030368392,NA,NA,conflict,ECSTPA
,Fusidic acid,Amikacin,ECPA conflict,other protein synthesis inhibitor_aminoglycoside,weak_conserved,NA,weak_conserved,Synergy,NA,NA,NA,NA,Antagonism,-0.161546262,-0.164695891,NA,NA,0.075830753,0.201475185,0.007360115,NA,NA,NA,NA,0.04699796,conflict,ECSTPA
,Amikacin,Nitrofurantoin,ECPA conflict,multiple_aminoglycoside,conserved,NA,not_comparable,Synergy,Synergy,NA,NA,Antagonism,NA,-0.214719193,-0.307839056,NA,NA,0.220651619,-0.052537849,0.001666307,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Amikacin,Mitomycin C,ECPA conflict,other DNA_aminoglycoside,weak_conserved,NA,weak_conserved,Synergy,NA,NA,NA,NA,Antagonism,-0.250200152,-0.115365739,NA,NA,0.062727025,0.126167218,0.001666307,NA,NA,NA,NA,0.027224251,conflict,ECSTPA
,Cefsulodin,Piperacillin,ECST conflict,beta-lactam_beta-lactam,conserved,not_conserved,NA,Synergy,Synergy,Antagonism,NA,NA,NA,-0.307960658,-0.446740089,0.16076424,0.040852146,NA,NA,0.001666307,0.001463305,0.016433139,NA,NA,NA,conflict,ECSTPA
,Trimethoprim,A22,ECST conflict,other cell wall_folic acid biosynthesis,weak_conserved,conserved,NA,Synergy,NA,Antagonism,Antagonism,NA,NA,-0.217299848,-0.107507106,0.14973366,0.150247659,NA,NA,0.001666307,NA,0.001768535,0.002167452,NA,NA,conflict,ECSTPA
,Procaine,Clarithromycin,ECPA conflict,macrolide_human drug,conserved,NA,weak_conserved,Synergy,Synergy,NA,NA,Antagonism,NA,-0.201245829,-0.35560863,NA,NA,0.210516661,0.091959128,0.001666307,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Verapamil,Rifampicin,ECST conflict,RNA polymerase_human drug,conserved,not_comparable,NA,Synergy,Synergy,NA,Antagonism,NA,NA,-0.126513855,-0.234310577,-0.045896082,0.226495294,NA,NA,0.022649878,0.001463305,NA,0.001932534,NA,NA,conflict,ECSTPA
,Nitrofurantoin,Tobramycin,ECPA conflict,multiple_aminoglycoside,weak_conserved,NA,not_comparable,Synergy,NA,NA,NA,Antagonism,NA,-0.215994217,-0.662844055,NA,NA,0.162706457,0.024048147,0.001666307,NA,NA,NA,0.002089943,NA,conflict,ECSTPA
,Nitrofurantoin,Imipenem,ECPA conflict,beta-lactam_multiple,weak_conserved,NA,not_conserved,Synergy,NA,NA,NA,NA,Antagonism,-0.125680789,-0.112057662,NA,NA,0.052758022,0.221611964,0.008407909,NA,NA,NA,NA,0.003989892,conflict,ECSTPA
,A22,Mitomycin C,ECSTPA conflict,other cell wall_other DNA,not_comparable,not_comparable,not_comparable,Synergy,NA,Antagonism,NA,NA,Antagonism,-0.15416149,0.081189455,0.198359952,0.046942373,-0.099203189,0.273242505,0.001666307,NA,0.001768535,NA,NA,0.002815025,conflict,ECSTPA
,Ciprofloxacin,Fosfomycin,ECPA conflict,other cell wall_quinolones,conserved,NA,not_conserved,Antagonism,Antagonism,NA,NA,Synergy,NA,0.161019673,0.16766855,NA,NA,-0.368951072,-0.025025307,0.002956627,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Spectinomycin,Aztreonam,ECSTPA conflict,beta-lactam_aminoglycoside,weak_conserved,weak_conserved,weak_conserved,Antagonism,NA,Antagonism,NA,NA,Synergy,0.247304439,0.136804827,0.215141531,0.080917234,-0.145682897,-0.199391245,0.002956627,NA,0.001768535,NA,NA,0.002815025,conflict,ECSTPA
,Fosfomycin,Novobiocin,ECSTPA conflict,other cell wall_other DNA,conserved,not_comparable,weak_conserved,Antagonism,Antagonism,Synergy,NA,Synergy,NA,0.3053796,0.206551921,-0.130224064,0.080298519,-0.145595253,-0.063770157,0.001666307,0.001463305,0.001768535,NA,0.002089943,NA,conflict,ECSTPA
,Fosfomycin,Erythromycin,ECPA conflict,other cell wall_macrolide,conserved,NA,not_conserved,Antagonism,Antagonism,NA,NA,Synergy,NA,0.241582358,0.13966634,NA,NA,-0.155636082,-0.041319868,0.001666307,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Fosfomycin,Levofloxacin,ECPA conflict,other cell wall_quinolones,conserved,NA,not_comparable,Antagonism,Antagonism,NA,NA,Synergy,NA,0.209298319,0.144369389,NA,NA,-0.340005762,0,0.001666307,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Fosfomycin,Clarithromycin,ECPA conflict,other cell wall_macrolide,conserved,NA,conserved,Antagonism,Antagonism,NA,NA,Synergy,Synergy,0.301382427,0.245726187,NA,NA,-0.255342076,-0.336995829,0.001666307,0.001463305,NA,NA,0.002089943,0.041701644,conflict,ECSTPA
,Fosfomycin,Metformin,ECPA conflict,other cell wall_human drug,conserved,NA,weak_conserved,Antagonism,Antagonism,NA,NA,NA,Synergy,0.177602473,0.220626652,NA,NA,-0.259320135,-0.480878825,0.019147163,0.004486711,NA,NA,NA,0.014629598,conflict,ECSTPA
,Novobiocin,Cefotaxime,ECST conflict,beta-lactam_other DNA,not_comparable,weak_conserved,NA,Antagonism,NA,NA,Synergy,NA,NA,0.111232878,0.051346234,-0.063761839,-0.133066059,NA,NA,0.007360115,NA,NA,0.003743781,NA,NA,conflict,ECSTPA
,Novobiocin,Benzalkonium,ECST conflict,other DNA_other membrane,not_comparable,weak_conserved,NA,Antagonism,NA,NA,Synergy,NA,NA,0.177034797,-0.01935007,-0.066570948,-0.229300037,NA,NA,0.001666307,NA,NA,0.003743781,NA,NA,conflict,ECSTPA
,Cefotaxime,Benzalkonium,ECSTPA conflict,beta-lactam_other membrane,weak_conserved,conserved,not_conserved,Antagonism,NA,Antagonism,Antagonism,Synergy,NA,0.203746399,0.105940401,0.229681406,0.205969479,-0.223474097,-0.026514476,0.001666307,NA,0.029825589,0.014857654,0.00503913,NA,conflict,ECSTPA
,Benzalkonium,Aztreonam,ECPA conflict,beta-lactam_other membrane,weak_conserved,NA,conserved,Antagonism,NA,NA,NA,Synergy,Synergy,0.177960848,0.152818425,NA,NA,-0.358920033,-0.399436359,0.001666307,NA,NA,NA,0.001981816,0.012790721,conflict,ECSTPA
,Procaine,Mecillinam,ECST conflict,beta-lactam_human drug,conserved,not_conserved,NA,Antagonism,Antagonism,Synergy,NA,NA,NA,0.154805979,0.326549011,-0.334747127,0.033826471,NA,NA,0.004098642,0.001463305,0.032831643,NA,NA,NA,conflict,ECSTPA
,Levofloxacin,Rifampicin,ECST conflict,RNA polymerase_quinolones,conserved,not_conserved,NA,Antagonism,Antagonism,NA,Synergy,NA,NA,0.149120607,0.154902175,0.052290356,-0.507261668,NA,NA,0.015287108,0.002551072,NA,0.001836122,NA,NA,conflict,ECSTPA
,Rifampicin,Mitomycin C,ECSTPA conflict,other DNA_RNA polymerase,conserved,not_conserved,weak_conserved,Antagonism,Antagonism,NA,Synergy,Antagonism,NA,0.114710809,0.157919774,0.151064554,-0.138937058,0.107156818,0.119969761,0.01041944,0.002551072,NA,0.03152966,0.006607722,NA,conflict,ECSTPA
,Ciprofloxacin,Chlorhexidine,ECPA conflict,quinolones_LPS,weak_conserved,NA,not_comparable,Antagonism,NA,NA,NA,Synergy,NA,0.129792067,0.114678117,NA,NA,-0.261586814,0.136754589,0.046080846,NA,NA,NA,0.035761239,NA,conflict,ECSTPA
,Bacitracin,Benzalkonium,ECSTPA conflict,other cell wall_other membrane,not_conserved,conserved,not_conserved,Antagonism,NA,Antagonism,Antagonism,Synergy,NA,0.331617786,0.040200262,0.335564135,0.254685394,-0.158960656,-0.030865395,0.012966472,NA,0.04769523,0.006857379,0.046090722,NA,conflict,ECSTPA
,A22,Colistin,ECPA conflict,other cell wall_LPS,not_conserved,NA,not_conserved,Antagonism,NA,NA,NA,NA,Synergy,0.47435515,0.04688333,NA,NA,-0.040921315,-0.379516494,0.035380827,NA,NA,NA,NA,0.002994083,conflict,ECSTPA
,Doxycycline,Amikacin,ECSTPA conflict,tetracycline_aminoglycoside,weak_conserved,weak_conserved,conserved,NA,Synergy,NA,Synergy,Antagonism,Antagonism,-0.18106626,-0.213583968,-0.07518037,-0.140981008,0.109849245,0.325792001,NA,0.003544318,NA,0.002167452,0.002089943,0.002815025,conflict,ECSTPA
,Novobiocin,Fusidic acid,ECST conflict,other DNA_other protein synthesis inhibitor,weak_conserved,not_comparable,NA,NA,Synergy,NA,Antagonism,NA,NA,-0.323897038,-0.223181851,-0.034170493,0.101576401,NA,NA,NA,0.003544318,NA,0.005745371,NA,NA,conflict,ECSTPA
,Cefotaxime,Imipenem,ECPA conflict,beta-lactam_beta-lactam,weak_conserved,NA,not_conserved,NA,Synergy,NA,NA,Antagonism,NA,-0.120425148,-0.162247698,NA,NA,0.303466247,-0.067377466,NA,0.002551072,NA,NA,0.002089943,NA,conflict,ECSTPA
,Cefsulodin,Mitomycin C,ECPA conflict,beta-lactam_other DNA,not_comparable,NA,not_conserved,NA,Synergy,NA,NA,Antagonism,NA,0.065495585,-0.118539941,NA,NA,0.127323849,-0.125282754,NA,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Erythromycin,Procaine,ECPA conflict,macrolide_human drug,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,Antagonism,NA,-0.102375,-0.176252694,NA,NA,0.114447466,0.085045093,NA,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Erythromycin,Loperamide,ECST conflict,macrolide_human drug,not_conserved,not_conserved,NA,NA,Synergy,Antagonism,NA,NA,NA,-0.049804365,-0.106081155,0.112323872,-0.028956347,NA,NA,NA,0.001463305,0.007031004,NA,NA,NA,conflict,ECSTPA
,Chloramphenicol,Piperacillin,ECPA conflict,beta-lactam_other protein synthesis inhibitor,not_conserved,NA,conserved,NA,Synergy,NA,NA,Antagonism,Antagonism,-0.051638263,-0.264835851,NA,NA,0.132162307,0.103681937,NA,0.004600072,NA,NA,0.002089943,0.002815025,conflict,ECSTPA
,Chloramphenicol,Nitrofurantoin,ECPA conflict,multiple_other protein synthesis inhibitor,not_comparable,NA,weak_conserved,NA,Synergy,NA,NA,NA,Antagonism,0.0627375,-0.415919355,NA,NA,0.080889951,0.119993622,NA,0.003185317,NA,NA,NA,0.002815025,conflict,ECSTPA
,Doxycycline,Novobiocin,ECST conflict,other DNA_tetracycline,not_comparable,not_comparable,NA,NA,Synergy,NA,Antagonism,NA,NA,0.122063549,-0.290874075,-0.059667946,0.223095938,NA,NA,NA,0.001813026,NA,0.002167452,NA,NA,conflict,ECSTPA
,Cefsulodin,Rifampicin,ECPA conflict,beta-lactam_RNA polymerase,weak_conserved,NA,not_comparable,NA,Synergy,NA,NA,Antagonism,NA,-0.152680042,-0.378804451,NA,NA,0.149036858,0.040367684,NA,0.003185317,NA,NA,0.009567829,NA,conflict,ECSTPA
,Fosfomycin,Procaine,ECPA conflict,other cell wall_human drug,weak_conserved,NA,not_conserved,NA,Antagonism,NA,NA,Synergy,NA,0.160694668,0.206685394,NA,NA,-0.169601791,0.06930073,NA,0.001463305,NA,NA,0.002089943,NA,conflict,ECSTPA
,Fosfomycin,Cerulenin,ECPA conflict,other cell wall_fatty acid biosynthesis,weak_conserved,NA,not_comparable,NA,Antagonism,NA,NA,NA,Synergy,0.211651095,0.175612815,NA,NA,-0.040511922,-0.127078838,NA,0.002551072,NA,NA,NA,0.007324046,conflict,ECSTPA
,CCCP,Mitomycin C,ECSTPA conflict,other DNA_PMF,not_comparable,weak_conserved,weak_conserved,NA,Antagonism,NA,Synergy,NA,Synergy,-0.061396629,0.109384869,-0.196603378,-0.139480143,-0.085067618,-0.136917874,NA,0.010822467,NA,0.013345888,NA,0.0053833,conflict,ECSTPA
,Mitomycin C,Berberine,ECST conflict,other DNA_food additive,not_comparable,conserved,NA,NA,Antagonism,Synergy,Synergy,NA,NA,0.056195086,0.223947913,-0.309887362,-0.125400982,NA,NA,NA,0.001463305,0.031666152,0.019543808,NA,NA,conflict,ECSTPA
,Chloramphenicol,Chlorhexidine,ECSTPA conflict,LPS_other protein synthesis inhibitor,not_conserved,weak_conserved,not_conserved,NA,Antagonism,NA,Synergy,NA,Synergy,-0.058280183,0.129657241,-0.089269197,-0.159107206,0.103045491,-0.172861438,NA,0.002372212,NA,0.013345888,NA,0.017734655,conflict,ECSTPA
,Cycloserine D,Rifampicin,ECPA conflict,other cell wall_RNA polymerase,weak_conserved,NA,not_comparable,NA,Antagonism,NA,NA,Synergy,NA,0.120059106,0.22572976,NA,NA,-0.154650056,-0.036888204,NA,0.02169783,NA,NA,0.003531698,NA,conflict,ECSTPA
,Fosfomycin,A22,ECPA conflict,other cell wall_other cell wall,weak_conserved,NA,not_conserved,NA,Antagonism,NA,NA,NA,Synergy,0.138097314,0.204388538,NA,NA,0.04973499,-0.591744658,NA,0.022104347,NA,NA,NA,0.002815025,conflict,ECSTPA
,Fosfomycin,Chlorhexidine,ECPA conflict,other cell wall_LPS,weak_conserved,NA,conserved,NA,Antagonism,NA,NA,Synergy,Synergy,0.1022751,0.116505017,NA,NA,-0.232213712,-0.539745839,NA,0.004305125,NA,NA,0.049608636,0.002815025,conflict,ECSTPA
,Fusidic acid,Chlorhexidine,ECSTPA conflict,LPS_other protein synthesis inhibitor,not_conserved,weak_conserved,weak_conserved,NA,Antagonism,NA,Synergy,NA,Synergy,0.059044226,0.154815304,-0.310298225,-0.501287953,-0.157579112,-0.21463267,NA,0.042207595,NA,0.010039295,NA,0.002815025,conflict,ECSTPA
,Benzalkonium,EGCG,ECSTPA conflict,other membrane_fatty acid biosynthesis,not_comparable,weak_conserved,weak_conserved,NA,Antagonism,NA,Synergy,NA,Antagonism,-0.245747194,0.831401834,-0.097495294,-0.154259977,0.108526944,0.439157178,NA,0.001306049,NA,0.003743781,NA,0.002389296,conflict,ECSTPA
,Ciprofloxacin,Bleomycin,STPA conflict,quinolones_multiple,NA,not_conserved,weak_conserved,NA,NA,Synergy,NA,Antagonism,NA,NA,NA,-0.14661082,0.03340732,0.121705609,0.120178092,NA,NA,0.031666152,NA,0.014752535,NA,conflict,ECSTPA
,Loperamide,Mitomycin C,STPA conflict,other DNA_human drug,NA,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Antagonism,NA,NA,NA,-0.131458679,-0.072918413,0.119849536,0.094897276,NA,NA,0.001768535,NA,0.008161906,NA,conflict,ECSTPA
,Levofloxacin,Streptozotocin,STPA conflict,quinolones_human drug,NA,conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,Antagonism,NA,NA,-0.358523104,-0.195735665,0.095928669,0.252809047,NA,NA,0.017308999,0.044349411,NA,0.016109338,conflict,ECSTPA
,Ciprofloxacin,Clofazimine,STPA conflict,other DNA_quinolones,NA,conserved,conserved,NA,NA,Antagonism,Antagonism,Synergy,Synergy,NA,NA,0.127034137,0.106462707,-0.135710986,-0.150786189,NA,NA,0.019379575,0.029624706,0.001981816,0.033112073,conflict,ECSTPA
,Cefaclor,Mitomycin C,STPA conflict,beta-lactam_other DNA,NA,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,NA,Synergy,NA,NA,0.228812849,0.111122141,-0.084726667,-0.144988138,NA,NA,0.001768535,NA,NA,0.002815025,conflict,ECSTPA
,Aztreonam,Metformin,STPA conflict,beta-lactam_human drug,NA,conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,Synergy,NA,NA,0.285351041,0.200605876,-0.214797764,-0.672078815,NA,NA,0.007031004,0.034108421,NA,0.013241876,conflict,ECSTPA
,Mitomycin C,Phleomycin,STPA conflict,other DNA_multiple,NA,conserved,not_conserved,NA,NA,Antagonism,Antagonism,NA,Synergy,NA,NA,0.230896018,0.145262529,0.070461364,-0.192104896,NA,NA,0.005913255,0.021620338,NA,0.036342474,conflict,ECSTPA
,Chloramphenicol,Penicillin G,STPA conflict,beta-lactam_other protein synthesis inhibitor,NA,weak_conserved,not_comparable,NA,NA,Antagonism,NA,Synergy,NA,NA,NA,0.103537878,0.079923344,-0.117939444,0.02464554,NA,NA,0.004468519,NA,0.010788307,NA,conflict,ECSTPA
,Ciprofloxacin,Nitrofurantoin,STPA conflict,quinolones_multiple,NA,conserved,not_conserved,NA,NA,Antagonism,Antagonism,Synergy,NA,NA,NA,0.193313368,0.35386762,-0.110417182,0.156316752,NA,NA,0.007012286,0.020149644,0.002089943,NA,conflict,ECSTPA
,Imipenem,Meropenem,STPA conflict,beta-lactam_beta-lactam,NA,weak_conserved,not_conserved,NA,NA,NA,Synergy,Antagonism,NA,NA,NA,-0.150327204,-0.449210376,0.151168812,0.0144448,NA,NA,NA,0.026627458,0.010585647,NA,conflict,ECSTPA
,Paraquat,Clarithromycin,STPA conflict,oxidative stress_macrolide,NA,weak_conserved,not_conserved,NA,NA,NA,Antagonism,Synergy,NA,NA,NA,0.114686405,0.15270492,-0.110965655,-0.030939065,NA,NA,NA,0.002167452,0.002089943,NA,conflict,ECSTPA
,Imipenem,Colistin,STPA conflict,beta-lactam_LPS,NA,not_comparable,not_conserved,NA,NA,NA,Antagonism,NA,Synergy,NA,NA,-0.041460701,0.66034671,0.067116859,-0.290748383,NA,NA,NA,0.048540507,NA,0.0053833,conflict,ECSTPA
,Procaine,Pseudomonic acid,ECST,human drug_oxidative stress,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.146223318,-0.177591455,-0.135545925,-0.09265224,NA,NA,0.001666307,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECST
,Pseudomonic acid,Colistin,ECST,oxidative stress_LPS,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.790042363,-0.704183625,-0.745485741,-0.896386162,NA,NA,0.001666307,0.001463305,0.001768535,0.003743781,NA,NA,no_conflict,ECST
,Ciprofloxacin,PMS,ECST,DNA gyrase_oxidative stress,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.541462974,0.220333168,0.408868629,0.243432814,NA,NA,0.001666307,0.006382388,0.001768535,0.006370634,NA,NA,no_conflict,ECST
,Doxycycline,PMS,ECST,tetracycline_oxidative stress,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.252742961,0.293039457,0.150770458,0.261454894,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECST
,Doxycycline,Pyocyanin,ECST,tetracycline_oxidative stress,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.275137383,0.208282507,0.170699554,0.262655945,NA,NA,0.001666307,0.002551072,0.001768535,0.002167452,NA,NA,no_conflict,ECST
,PMS,Bleomycin,ECST,oxidative stress_multiple,conserved,weak_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.363571305,0.195286352,0.141141189,0.10115396,NA,NA,0.001666307,0.022104347,0.001768535,NA,NA,NA,no_conflict,ECST
,PMS,Mitomycin C,ECST,oxidative stress_other DNA,conserved,not_comparable,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.172298374,0.262952825,0.228206618,-0.084702911,NA,NA,0.001666307,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECST
